id,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost
7774182,Astoria,40.75653,-73.92515,Entire rental unit,Entire home/apt,7,2.0,2.0,233.5,30,60,90,365,257,4.92,2.01,255,59543.0,No
7692870,Williamsburg,40.70882,-73.9558,Private room in home,Private room,2,1.0,2.0,117.73,16,46,76,351,320,4.92,2.44,0,0.0,Yes
7693124,Upper West Side,40.77343,-73.98767,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,3,4.33,0.02,0,0.0,No
7696654,Harlem,40.81078,-73.9402,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
7697256,Upper West Side,40.78486,-73.97761,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,8,4.5,0.06,0,0.0,No
7698593,Bedford-Stuyvesant,40.69342,-73.94036,Entire rental unit,Entire home/apt,4,2.0,2.0,367.25,29,59,89,364,25,4.92,0.29,0,0.0,No
7698722,Bedford-Stuyvesant,40.68623,-73.94041,Shared room in townhouse,Shared room,3,1.0,1.0,53.095,0,0,4,4,231,4.71,1.85,180,0.0,Yes
7699037,Washington Heights,40.85275,-73.93047,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,28,4.79,0.21,0,0.0,No
7700741,Harlem,40.81484,-73.95065,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,1,5.0,0.01,0,0.0,No
7707274,East Village,40.72597,-73.98938,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,8,5.0,0.06,0,0.0,No
7714405,Elmhurst,40.7372,-73.87909,Entire rental unit,Entire home/apt,4,2.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
7780335,Williamsburg,40.71602,-73.95394,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,8,4.63,0.06,0,0.0,No
7782176,Bedford-Stuyvesant,40.69386,-73.9457,Private room in rental unit,Private room,3,1.0,1.0,98.37,0,0,0,196,112,4.54,0.86,0,0.0,Yes
7785952,East Harlem,40.78479,-73.94615,Entire loft,Entire home/apt,3,1.0,1.0,216.91500000000002,0,0,0,0,51,4.75,0.39,0,0.0,No
7787799,Bushwick,40.70513,-73.91937,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,2,5.0,0.02,0,0.0,Yes
7788438,Bushwick,40.70683,-73.9193,Private room in rental unit,Private room,1,1.0,1.0,53.76,0,0,29,304,8,5.0,0.14,0,0.0,Yes
7788565,Bushwick,40.705,-73.91731,Private room in rental unit,Private room,1,1.0,1.0,52.86,0,0,0,107,1,5.0,0.04,0,0.0,Yes
7790911,Gravesend,40.60743,-73.98124,Private room in home,Private room,2,1.0,1.0,101.0,0,0,0,0,3,5.0,0.02,0,0.0,No
7798327,East Village,40.72306,-73.98567,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,1,5.0,0.01,0,0.0,No
7798935,Flatbush,40.6342,-73.95645,Entire rental unit,Entire home/apt,6,2.0,1.0,216.91500000000002,0,0,0,0,3,5.0,0.02,0,0.0,No
7275655,East Village,40.72413,-73.98283,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,4,5.0,0.03,0,0.0,No
7276534,East Elmhurst,40.75921,-73.8758,Private room in home,Private room,2,1.0,1.0,101.0,0,0,0,0,303,4.5,2.28,0,0.0,No
7277102,South Slope,40.66157,-73.98613,Entire rental unit,Entire home/apt,8,4.0,1.0,216.91500000000002,0,0,0,0,3,5.0,0.02,0,0.0,No
7277600,Upper East Side,40.76463,-73.9552,Entire rental unit,Entire home/apt,3,1.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
7278762,Elmhurst,40.73564,-73.87221,Entire condo,Entire home/apt,4,2.0,2.0,191.15,0,23,53,143,157,4.96,1.19,120,22938.0,No
7292891,Chelsea,40.74604,-73.99939,Entire rental unit,Entire home/apt,4,2.0,1.0,216.91500000000002,0,0,0,0,14,4.43,0.11,0,0.0,No
7294773,East Village,40.72625,-73.97977,Entire rental unit,Entire home/apt,6,1.0,2.0,214.8,0,0,11,191,17,4.82,0.34,0,0.0,No
7800835,Bedford-Stuyvesant,40.68129,-73.93004,Entire townhouse,Entire home/apt,4,2.0,3.0,148.48,20,32,57,147,262,4.84,2.01,60,8909.0,Yes
7801169,East Village,40.72835,-73.98628,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,12,5.0,0.09,0,0.0,No
7801262,Harlem,40.79966,-73.95511,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,159,4.73,1.21,0,0.0,No
7803602,Astoria,40.75864410400391,-73.92725372314453,Private room in townhouse,Private room,1,1.0,1.0,101.0,0,0,0,0,198,4.6,1.5,60,0.0,Yes
7806322,East New York,40.67391,-73.89394,Entire rental unit,Entire home/apt,6,3.0,3.0,242.49,30,60,90,365,93,4.89,0.71,0,0.0,No
7807454,Boerum Hill,40.68641,-73.98526,Entire rental unit,Entire home/apt,1,1.0,1.0,216.91500000000002,0,0,0,0,1,4.0,0.01,0,0.0,No
7809878,Crown Heights,40.67701,-73.95294,Private room in condo,Private room,1,1.0,1.0,76.33,0,3,33,308,32,4.69,0.25,0,0.0,No
7810109,Ridgewood,40.70877,-73.90169,Entire rental unit,Entire home/apt,3,1.0,1.0,216.91500000000002,0,0,0,0,2,4.5,0.02,0,0.0,No
7816449,SoHo,40.72222,-74.00112,Entire loft,Entire home/apt,4,2.0,2.0,827.8,30,60,90,365,58,4.93,0.44,0,0.0,No
7821813,Greenpoint,40.72926,-73.95642,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,2,5.0,0.02,0,0.0,No
7823495,Chelsea,40.7420539855957,-73.99846649169922,Entire condo,Entire home/apt,4,2.0,2.0,719.03,0,0,10,250,40,4.95,0.31,60,43142.0,No
7827908,Bushwick,40.70168806187555,-73.91857553611982,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,132,4.69,1.0,0,0.0,No
7834733,Bedford-Stuyvesant,40.68244,-73.95753,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,0,,0.0,0,0.0,No
7835470,Bedford-Stuyvesant,40.68831,-73.94081,Entire rental unit,Entire home/apt,2,2.0,1.0,216.91500000000002,0,0,0,0,3,5.0,0.02,0,0.0,No
7835680,West Village,40.72975,-74.00243,Entire rental unit,Entire home/apt,3,1.0,1.0,216.91500000000002,0,0,0,0,1,5.0,0.01,0,0.0,No
7835778,Kensington,40.64465,-73.98012,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,1,5.0,0.01,0,0.0,No
7837347,Morningside Heights,40.8141,-73.96154,Entire rental unit,Entire home/apt,6,3.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
7837685,Crown Heights,40.66732,-73.92937,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,11,5.0,0.08,0,0.0,No
7837816,Bedford-Stuyvesant,40.69503,-73.95971,Private room in rental unit,Private room,2,1.0,1.0,138.08,3,10,18,188,678,4.87,5.53,255,35210.0,Yes
7839972,Midtown,40.74748,-73.98345,Entire rental unit,Entire home/apt,4,1.0,1.0,216.91500000000002,0,0,0,0,4,4.5,0.03,0,0.0,No
7841904,West Village,40.73957,-74.00397,Private room in rental unit,Private room,1,1.0,1.0,101.0,0,0,0,0,4,4.75,0.03,0,0.0,No
7842116,Borough Park,40.64295,-73.99955,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,0,,0.0,0,0.0,No
7842276,Gowanus,40.68316,-73.98382,Entire rental unit,Entire home/apt,2,5.0,1.0,216.91500000000002,0,0,0,0,93,4.85,0.71,0,0.0,No
7843390,East Village,40.7259,-73.97974,Private room in rental unit,Private room,2,1.0,1.0,96.27,3,3,15,290,81,4.62,0.62,60,5776.0,No
7843582,Crown Heights,40.67032,-73.95565,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,27,4.78,0.21,0,0.0,No
7856749,Boerum Hill,40.68826,-73.98558,Entire rental unit,Entire home/apt,4,1.0,2.0,172.56,13,43,73,348,24,4.71,0.21,0,0.0,Yes
7858096,Stuyvesant Town,40.73546,-73.97909,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,3,4.0,0.02,0,0.0,No
7860155,Upper East Side,40.76339,-73.96739,Private room in rental unit,Private room,1,1.0,1.0,102.74,0,5,35,310,311,4.86,2.37,255,26199.0,Yes
7864877,Harlem,40.80193,-73.94982,Entire rental unit,Entire home/apt,6,2.0,1.0,216.91500000000002,0,0,0,0,2,4.0,0.02,0,0.0,No
7714664,East New York,40.66063,-73.89887,Entire home,Entire home/apt,4,2.0,1.0,216.91500000000002,2,2,2,2,143,4.67,1.08,0,0.0,No
7715344,East Harlem,40.79344,-73.94517,Entire rental unit,Entire home/apt,4,1.0,1.0,216.91500000000002,0,0,0,0,4,4.75,0.03,0,0.0,No
8118692,Midtown,40.75296,-73.98451,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,1,4.0,0.01,0,0.0,No
8127517,Gowanus,40.6729,-73.99594,Entire loft,Entire home/apt,16,1.0,1.0,721.97,30,60,90,365,0,,0.0,0,0.0,No
8130551,Upper West Side,40.80156,-73.96431,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,0,,0.0,0,0.0,No
8131995,Kips Bay,40.7391,-73.98085,Entire rental unit,Entire home/apt,1,1.0,1.0,210.54,29,59,89,89,2,4.5,0.02,0,0.0,No
8133275,East Flatbush,40.64044,-73.94878,Private room in home,Private room,4,2.0,2.0,99.92,0,0,11,286,184,4.71,1.41,0,0.0,No
8133707,Theater District,40.76185,-73.98432,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,8,4.5,0.06,0,0.0,No
8135144,Hell's Kitchen,40.76213,-73.99029,Entire rental unit,Entire home/apt,4,2.0,2.0,177.0,0,0,28,303,179,4.44,1.41,0,0.0,No
8139311,Bedford-Stuyvesant,40.68011,-73.9311,Entire rental unit,Entire home/apt,6,2.0,1.0,216.91500000000002,0,0,0,0,1,5.0,0.01,0,0.0,No
8144049,Harlem,40.80784,-73.94442,Private room in rental unit,Private room,4,1.0,1.0,101.0,0,0,0,0,5,4.6,0.04,0,0.0,No
8145339,Chelsea,40.74519,-73.99783,Entire rental unit,Entire home/apt,4,2.0,1.0,216.91500000000002,0,0,0,0,5,4.8,0.04,0,0.0,No
8146444,Crown Heights,40.67511,-73.9599,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,14,4.79,0.11,0,0.0,No
8147651,Williamsburg,40.71502,-73.96084,Entire rental unit,Entire home/apt,5,3.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
8151183,Bushwick,40.69693,-73.91153,Entire rental unit,Entire home/apt,5,2.0,1.0,73.59,0,13,13,263,80,5.0,0.64,255,18765.0,No
8151605,Bedford-Stuyvesant,40.68441,-73.94132,Entire rental unit,Entire home/apt,4,2.0,1.0,216.91500000000002,0,0,0,0,1,4.0,0.01,0,0.0,No
8151925,Chinatown,40.71671,-73.99263,Entire condo,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,302,4.63,2.3,0,0.0,No
8152916,Washington Heights,40.84403,-73.93424,Private room in condo,Private room,2,1.0,1.0,188.3,10,36,63,64,290,4.88,2.22,255,48017.0,Yes
8152985,Lower East Side,40.71326,-73.9842,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,5,4.6,0.04,0,0.0,No
8153240,Lower East Side,40.71495,-73.98594,Entire rental unit,Entire home/apt,8,3.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
8155028,Battery Park City,40.70951,-74.01623,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,7,5.0,0.05,0,0.0,No
7302762,Greenpoint,40.72556,-73.94974,Cave,Entire home/apt,4,1.0,1.0,216.91500000000002,0,0,0,0,2,4.5,0.02,0,0.0,No
7309427,South Slope,40.66477,-73.98797,Entire home,Entire home/apt,7,4.0,1.0,216.91500000000002,0,0,0,0,14,4.71,0.12,0,0.0,No
7309633,Bedford-Stuyvesant,40.68288,-73.94846,Entire rental unit,Entire home/apt,1,1.0,1.0,216.91500000000002,0,0,0,0,1,5.0,0.01,0,0.0,No
7310330,East Village,40.72254,-73.98585,Entire rental unit,Entire home/apt,5,2.0,1.0,216.91500000000002,0,0,0,0,0,,0.0,0,0.0,No
7311209,Greenpoint,40.72348,-73.9412,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,5,4.6,0.04,0,0.0,No
7320160,Clinton Hill,40.69262,-73.96886,Private room in rental unit,Private room,2,1.0,1.0,101.0,0,0,0,0,42,4.6,0.32,0,0.0,No
7871818,Bushwick,40.69647,-73.91857,Private room in townhouse,Private room,2,1.0,2.0,233.94,9,25,38,281,306,4.56,2.33,255,59655.0,No
7871985,Astoria,40.7562,-73.91162,Entire rental unit,Entire home/apt,2,1.0,1.0,216.91500000000002,0,0,0,0,7,4.86,0.05,0,0.0,No
7873524,Harlem,40.80038,-73.95463,Entire rental unit,Entire home/apt,3,1.0,1.0,216.91500000000002,0,0,0,0,1,5.0,0.01,0,0.0,No
7874869,Astoria,40.7585516,-73.9272356,Private room in townhouse,Private room,1,1.0,1.0,101.0,0,0,0,0,142,4.53,1.08,120,0.0,Yes
